id,longitude,latitude,weight,tmcf,remove,country,realm,elevation,cloud,temperature,min_temperature,max_temperature,precipitation,dewpoint,pressure,vswc,PET
77,-82.800014,9.149986,7.645180317,La Amistad,yes,PAN,Neotropic,2570,-0.001370595,0.030239308,0.024209058,0.02394814,-0.051029086,0.020276826,1.7752345,5.63E-05,7.97E-05
98,-89.633319,13.866681,7.516424424,Los Andes,yes,SLV,Neotropic,1980,-0.000802291,0.0493328,0.031212483,0.031578615,0.014412742,0.036564413,1.4090761,-0.000316101,-9.91E-05
383,124.050014,12.800014,7.550083165,Mount Bulusan,yes,PHL,Indomalayan,457,-0.001131807,0.017862976,0.015851228,0.015435095,-0.007448462,0.014420502,0.06704412,0.000259632,-6.26E-05
384,121.199986,14.133319,7.507598956,Mount Makiling,yes,PHL,Indomalayan,943,-0.001378658,0.025553511,0.023201782,0.022913063,0.060419526,0.009447587,0.053032007,-0.000233274,-0.000132987
393,145.866681,-17.716681,7.373148721,Mount Bellenden Ker MCF,yes,AUS,Australasia,79,-0.003409923,0.010896791,0.021135649,0.021943893,-0.0258049,-0.012120363,0.2537673,-0.00065466,0.000130309
394,145.800014,-17.583319,7.378677388,Mount Bartle Frere MCF,yes,AUS,Australasia,467,-0.003695509,0.009864654,0.02043583,0.02129249,-0.10225937,-0.013217215,0.45924136,-0.000661685,0.000149406
413,118.300014,12.050014,7.572166649,Victoria Peak,yes,PHL,Indomalayan,,-0.001758897,0.016641593,0.018943487,0.018831592,-0.01757103,0.013644195,0.2749308,-8.47E-09,0.000269562
509,-61.337208,15.362514,7.464793325,Trois Pitons,yes,DMA,Neotropic,940,-0.000726272,0.008131851,0.009588608,0.009280545,0.054640874,0.009768399,2.0991583,-8.47E-09,-0.000109213
0,-69.183347,-14.966681,7.478957579,Ulla Ulla,,BOL,Neotropic,4722,0.000113534,0.04045404,0.021746488,0.021283677,0.012965781,0.010717405,3.7050476,-0.000707994,8.99E-05
1,-63.866681,-17.750014,7.371760571,Amboró,,BOL,Neotropic,955,-0.003433471,0.04318488,0.028047916,0.029756056,-0.013442339,0.009322318,2.6425157,-0.000644326,-0.000354573
2,-64.400014,-17.266653,7.391643547,Carrasco,,BOL,Neotropic,295,-0.003064172,0.044723287,0.028559646,0.03012712,-0.023664357,0.009915926,2.241495,-0.00076896,-0.000397986
3,-64.500014,-20.000014,7.272270154,Tariquía,,BOL,Neotropic,3040,-0.002596234,0.042381495,0.02251347,0.023497129,-0.003090656,0.027644178,3.9645164,-0.000228202,-0.00030616
4,-44.633319,-22.383319,7.154572592,Itatiaia,,BRA,Neotropic,2194,-0.002077254,0.027465839,0.025359688,0.026287561,-0.007068314,0.00437462,2.5673625,-0.000457372,-0.000112643
5,-66.033319,0.333319,7.744885342,Pico da Neblina,,BRA,Neotropic,100,-0.006475197,0.025458634,0.030606367,0.0311557,0.006645388,0.003481678,0.8721981,-0.000433252,-0.000173565
6,-44.500014,-22.833319,7.13094556,Serra do Bocaína,,BRA,Neotropic,1515,-0.000861622,0.022683693,0.019138858,0.019711921,0.016854472,0.007643218,2.4598365,-6.28E-05,-9.24E-05
7,-49.549986,-28.133319,6.819853308,Sao Joaquim,,BRA,Neotropic,1600,-0.001902475,0.027392076,0.020872587,0.022055563,-0.004503049,0.011418339,3.0186021,-0.000452134,-2.38E-06
8,115.316653,4.333319,7.722584752,Gunung Pagon,,BRN,Indomalayan,1029,0.00215396,0.031622976,0.00994955,0.007685995,-0.014230346,0.044922173,1.4598832,0.000942364,-0.000467947
9,-84.000014,10.166681,7.621829398,Braulio Carrillo,,CRI,Neotropic,790,-0.001488186,0.035693936,0.026410181,0.02644602,-0.059664316,0.018598694,1.1436609,-0.000460915,0.00014216
10,-85.383319,10.800014,7.606055542,Volcán Rincón de la Vieja,,CRI,Neotropic,975,0.000618916,0.030733382,0.018795528,0.018591834,-0.005140185,0.026547525,1.0148512,0.000211751,0.000240984
11,-83.783319,9.716681,7.632464747,Tapantí,,CRI,Neotropic,1441,-0.001478476,0.030440882,0.023173288,0.022875458,0.008938097,0.019777456,2.0646749,3.14E-06,0.000101183
12,-83.483319,9.483319,7.637792526,Chirripó,,CRI,Neotropic,3588,-0.001286045,0.02858846,0.02238244,0.022087336,-0.03868285,0.021330407,2.0186877,0.000216112,0.000155298
13,-84.233319,10.199986,7.621023351,Volcán Poás,,CRI,Neotropic,2405,-0.00172814,0.03510758,0.025560243,0.025621781,-0.058551747,0.019051557,1.4507492,-0.000332019,0.000221977
14,-84.800014,10.283319,7.618995114,Monteverde Cloud Forest Reserve,,CRI,Neotropic,1123,-0.000928968,0.036034785,0.025345242,0.025226496,-0.06151817,0.019689862,1.2291194,-0.000127852,0.00026802
15,-91.533319,-0.349986,7.744871729,Fernandina,,ECU,Neotropic,1405,0.005140605,-0.011376938,-0.011691384,-0.012017068,-0.002234688,0.00930417,1.7296895,-8.47E-09,-0.000258183
16,-91.116681,-0.800014,7.744253125,Isabela,,ECU,Neotropic,920,0.005124364,-0.001823175,-0.001256574,-0.001392509,-0.004286829,0.016536955,1.6700251,0.000188568,-0.000265583
17,-90.349986,-0.616681,7.744563573,Santa Cruz,,ECU,Neotropic,536,0.002647013,-0.005137915,-0.005074775,-0.004908382,-0.005662418,0.012894749,1.7290589,-0.000560298,-0.000267447
18,-78.615819,-0.366681,7.744857428,Atacazo,,ECU,Neotropic,4115,-0.000682395,0.06765274,0.0210091,0.02131744,-0.000275981,0.05016263,2.8039627,-0.000269234,-0.000300359
19,-77.816653,-0.016681,7.745017811,Cayambe-Coca,,ECU,Neotropic,2130,-0.000707165,0.057485916,0.01661013,0.016335873,-0.044993713,0.052410405,2.6654706,0.000337541,-0.000345744
20,-77.866681,0.365014,7.744858886,Cerro Mongus,,ECU,Neotropic,3028,-0.001540232,0.056676913,0.018458158,0.018829325,-0.022403985,0.047442146,2.6460276,-0.000248885,-0.000373231
21,-78.000014,-0.483319,7.744738922,Cordillera de Guacamayo,,ECU,Neotropic,2914,-0.001584895,0.06342904,0.017506357,0.017109482,0.020005092,0.05394167,2.705948,0.000220696,-0.000413296
22,-78.966681,-4.133319,7.724606766,Podocarpus National Park,,ECU,Neotropic,1497,-0.000847287,0.04288826,0.012682457,0.012110243,-0.066099264,0.034671176,2.288154,0.000434876,-5.19E-05
23,-79.116681,-2.816681,7.735536962,Río Mazan,,ECU,Neotropic,3741,-0.001438182,0.0690452,0.020223694,0.0210025,-0.000117706,0.043019973,2.7809923,-0.000568181,-0.000222089
24,-78.333347,-2.000014,7.740237332,Sangay,,ECU,Neotropic,4758,-0.00117272,0.06922306,0.015594403,0.015743703,0.026420588,0.049341556,2.650303,0.00030606,-0.000319064
25,-78.583347,-0.100014,7.745006187,Volcán Pichincha,,ECU,Neotropic,3215,-0.000237527,0.06399772,0.020076375,0.0201477,-0.018872444,0.05375647,2.6093442,-5.82E-05,-0.000441694
26,-100.250014,17.416681,7.385528885,Sierra de Atoyac,,MEX,Neotropic,1265,0.002310884,0.003187258,0.01975577,0.017043175,-0.040991478,0.042113286,2.1552587,0.001160779,-2.93E-05
27,-98.316653,20.316681,7.257357117,Cerra Viejo,,MEX,Neotropic,2385,0.001035013,0.034148883,0.026149819,0.025130717,0.019656986,0.038476273,1.8693045,0.000461334,0.000216221
28,-103.266681,19.433319,7.298399195,Espinazo del Diablo,,MEX,Neotropic,1775,0.002122332,0.014389135,0.02104685,0.018439472,-0.015539524,0.061589662,2.319757,0.000923061,0.000263019
29,-99.300014,23.133319,7.114948427,El Cielo,,MEX,Neotropic,1839,4.5E-05,0.025502544,0.031631913,0.031514265,0.012530275,0.01228218,1.746462,-0.000371684,0.000190629
30,-105.000014,21.516653,7.198824621,El Nayer,,MEX,Neotropic,1151,-0.000209533,0.011594083,0.031057812,0.030237647,-0.03783435,-0.003477699,1.8190207,-8.68E-05,0.000299821
31,-99.050014,18.466681,7.341307342,Huautla,,MEX,Neotropic,1329,0.001167713,-0.004241384,0.002661756,-0.000531306,0.01885007,0.08223572,1.7256618,0.001476029,-0.000151127
32,-98.666653,19.166681,7.310444608,Iztacihuatl-Popocat‚petl,,MEX,Neotropic,3991,0.000749337,0.031275105,0.031359274,0.030480728,0.00217731,0.0559523,2.3611505,-3.21E-05,0.000319338
33,-98.000014,19.233347,7.307447907,"Volcán la Malinche, Tlaxcala-Puebla",,MEX,Neotropic,3676,0.000409182,0.0368427,0.03424725,0.033310805,0.035892554,0.053707544,2.25493,1.65E-06,0.000336575
34,-91.666653,16.166681,7.43491061,Lagunas de Montebello,,MEX,Neotropic,1323,-0.000747985,0.039686184,0.025292603,0.025001643,-0.058443025,0.047696307,1.951064,-0.000283646,-0.000140666
35,-96.550014,16.066681,7.438707203,Loxicha,,MEX,Neotropic,2171,0.000939227,0.02971071,0.020093158,0.018464567,-0.023652121,0.0645837,2.1580198,0.000426602,-9.42E-05
36,-95.199986,18.549986,7.337692262,"Volcán San Martín, Veracruz",,MEX,Neotropic,1381,-0.001127795,0.023813209,0.024022266,0.023615709,-0.019623255,0.023945233,0.9441903,6.83E-05,1.46E-05
37,-94.833347,18.383319,7.344909237,"Sierra de Santa Martha, Veracruz",,MEX,Neotropic,780,-0.001290165,0.024337163,0.025922371,0.025235172,-0.04498174,0.026171532,1.0612707,-0.000174112,-8.56E-05
38,-97.000014,19.383319,7.300670092,"Teocelo, Veracruz",,MEX,Neotropic,1246,0.002390854,0.033555225,0.029293278,0.02798635,-0.041437477,0.03357366,1.7490225,0.000212747,0.000227368
39,-99.750014,19.249986,7.306698413,"Nevado de Toluca, State of México",,MEX,Neotropic,2837,0.000875536,0.032187127,0.037168417,0.03687319,0.001647385,0.04549635,2.5720649,-0.000241578,0.000219088
40,-99.166653,21.249986,7.212107744,Xilitla,,MEX,Neotropic,1891,0.000975352,0.028373815,0.02307853,0.022351444,0.007903491,0.021530224,1.658301,0.000189307,9.84E-05
41,-92.883319,15.666681,7.453664753,El Triunfo,,MEX,Neotropic,1850,0.000265796,0.036844984,0.023899887,0.022427276,0.021441814,0.06533452,1.7492318,0.000196453,1.71E-05
42,-92.683347,16.733347,7.412965252,Huitepec,,MEX,Neotropic,2483,0.000459376,0.028527759,0.021284655,0.020086514,-0.027407074,0.063526906,2.1566792,0.000307821,0.000182907
43,-82.800014,9.149986,7.645180317,Volcán Barú/Volcan Chiriqui,,PAN,Neotropic,2570,-0.001370595,0.030239308,0.024209058,0.02394814,-0.051029086,0.020276826,1.7752345,5.63E-05,0.000413426
44,-71.666653,-12.500014,7.559073703,Manú,,PER,Neotropic,1727,-0.001263849,0.025042605,0.02145301,0.020914162,0.031559285,0.011294871,2.129903,-0.000178691,-0.000173721
45,-78.366681,-5.583319,7.707788756,Northern Cordillera del Colán,,PER,Neotropic,2108,0.000319438,0.02040321,0.010513408,0.009496929,0.02343296,0.028722906,2.1645753,0.000428374,6.58E-05
46,-78.050014,-5.733319,7.705763384,Southern Cordillera del Colán,,PER,Neotropic,2226,-0.000379125,0.025886143,0.018280182,0.017026281,0.014291367,0.030541705,2.302141,0.000134006,8.9E-05
47,-89.383319,14.416681,7.498039926,Montecristo,,SLV,Neotropic,1822,-0.001726837,0.051924333,0.030544437,0.031116297,0.010890775,0.037967473,1.5716298,-0.00061471,0.000122311
48,-66.050014,-16.200014,7.433640012,Isiboro Sécure,,BOL,Neotropic,255,-0.001882589,0.047338407,0.027100917,0.028443262,0.03621262,0.004619118,1.939122,-0.000632353,-0.000347568
49,-68.500014,-13.166681,7.538810639,Madidi,,BOL,Neotropic,226,-0.003331491,0.047447752,0.02461955,0.026397042,0.06292131,0.009070796,1.283872,-0.000567723,-0.000217848
50,37.999986,12.999986,7.543974091,Simen Mountains,,ETH,Paleartic,2238,0.00010226,0.023486065,0.017138071,0.016130328,0.001549895,0.02797679,2.036001,0.00010935,0.000151362
51,-78.633319,-3.016681,7.734143087,Zapote Najda Mountains,,ECU,Neotropic,3283,-0.001520981,0.05948441,0.011675848,0.011946834,-0.012375689,0.04023571,2.3439498,0.000117438,-0.000392234
52,-77.633319,-0.566681,7.744634297,Volcán Sumaco,,ECU,Neotropic,2682,-0.001299739,0.06113408,0.017406791,0.01632526,-0.052174836,0.049915943,2.242712,0.000190213,-0.000580091
53,-80.683347,-1.649986,7.741764187,Machalilla,,ECU,Neotropic,256,-0.005223205,0.07076614,0.03897243,0.04311616,-0.016217558,0.008457717,1.50591,-0.004314101,-0.000500178
54,-79.733319,-3.674431,7.728885751,Buenaventura,,ECU,Neotropic,943,-0.002329684,0.052364636,0.021014515,0.022789117,-0.02026508,0.023008088,2.211468,-0.001547831,-0.000315131
