variable,parameter,mean,sd,HDI%,comp,HDIlo,HDIup,%>comp,%<comp,q2.5%,q25%,median,q75%,q97.5%,mcmc_se,Rhat,n_eff
cloud,mu,-6.4927,0.608,95,0,-7.6871,-5.312,0,1,-7.683,-6.9056,-6.4942,-6.083,-5.3025,0.0044,1.0002,18885
cloud,sigma,11.9945,0.7694,95,0,10.5479,13.5376,1,0,10.5571,11.4644,11.9786,12.4993,13.551,0.0119,1.0016,4173
cloud,nu,5.2482,1.7883,95,0,2.8596,8.3729,1,0,3.1598,4.1383,4.8866,5.9179,9.3627,0.046,1.0433,2736
cloud,eff_size,-0.5436,0.0618,95,0,-0.6655,-0.4236,0,1,-0.6679,-0.5845,-0.5425,-0.5012,-0.4255,0.0006,1.0002,9538
cloud,x_pred,-6.4712,15.9217,95,0,-38.5429,24.5019,0.3079,0.6921,-37.8208,-15.1844,-6.5409,2.3913,25.2736,0.0923,1.0006,29720
temperature,mu,310.2504,6.4515,95,0,297.6566,322.7617,1,0,297.6825,305.9029,310.2092,314.6295,322.8063,0.0476,1.0002,18377
temperature,sigma,144.3136,4.9222,95,0,134.4226,153.7433,1,0,134.6946,141.0241,144.2743,147.6112,154.0746,0.0415,1.0001,14045
temperature,nu,57.9958,33.5282,95,0,11.4903,123.6517,1,0,16.6605,34.0663,50.1351,73.5867,142.3911,0.4142,1.0007,6796
temperature,eff_size,2.1523,0.0851,95,0,1.984,2.3173,1,0,1.989,2.0945,2.1514,2.2086,2.3237,0.0007,1.0002,16109
temperature,x_pred,309.6996,148.6313,95,0,16.8367,602.3568,0.9802,0.0198,16.2571,210.4275,310.5682,408.5579,602.0298,0.8581,1,29999
min_temperature,mu,192.7993,3.3682,95,0,186.2284,199.439,1,0,186.1727,190.5468,192.7926,195.0735,199.3886,0.0253,1,17744
min_temperature,sigma,73.1116,3.3141,95,0,66.7266,79.6204,1,0,66.5225,70.8692,73.1585,75.368,79.4574,0.044,1.0002,5778
min_temperature,nu,24.3759,19.4733,95,0,5.3281,61.2493,1,0,7.5398,12.7802,18.4074,28.4494,79.176,0.3865,1.0036,2607
min_temperature,eff_size,2.6424,0.1274,95,0,2.3987,2.8957,1,0,2.4079,2.5542,2.6362,2.7255,2.9079,0.0016,1.0003,6815
min_temperature,x_pred,192.643,77.82,95,0,37.3411,345.3216,0.9916,0.0084,39.1214,142.6308,192.4412,242.9207,347.907,0.4493,1.0003,29999
max_temperature,mu,187.851,3.668,95,0,180.6019,194.9133,1,0,180.7394,185.3613,187.865,190.3158,195.0721,0.0276,0.9999,17763
max_temperature,sigma,79.6789,3.3287,95,0,73.0861,86.0136,1,0,72.9844,77.454,79.7471,82.003,85.9469,0.0392,1.0007,7255
max_temperature,nu,29.8688,22.374,95,0,5.7889,74.3761,1,0,8.7045,15.3398,22.9121,36.4937,93.0931,0.3857,1.0055,3484
max_temperature,eff_size,2.3617,0.1083,95,0,2.1592,2.5807,1,0,2.1643,2.286,2.3564,2.4323,2.5875,0.0012,1.0005,8427
max_temperature,x_pred,188.0245,83.7792,95,0,19.8032,349.3553,0.9858,0.0142,23.1633,133.7686,187.4348,243.0331,353.0923,0.4659,1,32419
precipitation,mu,-19.523,13.8374,95,0,-47.2466,6.9132,0.0803,0.9197,-46.6009,-28.779,-19.5259,-10.3137,7.6699,0.103,1.0001,18092
precipitation,sigma,272.9762,13.6814,95,0,247.7376,301.3665,1,0,247.019,263.5912,272.6176,282.0616,300.8345,0.1532,0.9999,7999
precipitation,nu,5.1679,1.0763,95,0,3.3193,7.3844,1,0,3.5064,4.4114,5.0164,5.7554,7.7225,0.0128,1.0002,7217
precipitation,eff_size,-0.0717,0.051,95,0,-0.1738,0.0259,0.0803,0.9197,-0.172,-0.106,-0.0716,-0.0377,0.0282,0.0004,1.0001,17938
precipitation,x_pred,-20.91,359.9172,95,0,-720.7341,682.9736,0.4724,0.5276,-718.9796,-216.5158,-20.975,177.3521,686.9383,2.0466,1.0011,31015
dewpoint,mu,305.3041,7.1271,95,0,291.3535,319.1874,1,0,291.4405,300.4391,305.2824,310.078,319.3143,0.0543,1.0003,17243
dewpoint,sigma,156.9699,5.6345,95,0,146.3649,168.4783,1,0,145.9127,153.204,156.9542,160.7079,168.1312,0.0509,1.0001,12269
dewpoint,nu,48.7772,31.0096,95,0,9.3729,111.6325,1,0,13.3612,26.6588,40.5958,61.9857,128.9616,0.3888,1.0024,6390
dewpoint,eff_size,1.9475,0.0827,95,0,1.7853,2.1103,1,0,1.7877,1.8915,1.9464,2.0021,2.1131,0.0007,1.0001,13894
dewpoint,x_pred,306.2405,161.1038,95,0,-6.5263,628.0514,0.9714,0.0286,-9.207,198.6952,306.1607,412.2799,625.6231,0.9351,1.0001,29692
pressure,mu,15183.4401,349.8132,95,0,14493.7881,15864.3555,1,0,14495.0049,14948.8749,15183.9223,15419.7109,15867.1632,2.6523,1.0006,17410
pressure,sigma,7253.6304,324.2797,95,0,6622.8283,7893.2822,1,0,6627.8915,7034.2456,7248.8809,7467.8886,7902.5083,3.6363,1.0011,8016
pressure,nu,9.2959,3.0018,95,0,4.7077,15.0769,1,0,5.3877,7.2781,8.6765,10.5853,16.7704,0.0398,1.0072,5930
pressure,eff_size,2.0975,0.1078,95,0,1.8895,2.3127,1,0,1.8938,2.0241,2.0945,2.1684,2.3177,0.0011,1.0009,9660
pressure,x_pred,15145.1488,8359.0734,95,0,-1506.7374,31814.476,0.9647,0.0353,-1688.3541,10031.0354,15148.5413,20281.588,31672.0209,48.2621,1,29999
vswc,mu,0.5557,0.2177,95,0,0.1353,0.99,0.995,0.005,0.1298,0.4087,0.5564,0.702,0.986,0.0016,1.0001,18165
vswc,sigma,4.1049,0.2338,95,0,3.6642,4.5738,1,0,3.6688,3.9442,4.0984,4.2596,4.5787,0.0027,1.0002,7600
vswc,nu,3.1452,0.4812,95,0,2.2431,4.092,1,0,2.3579,2.8016,3.0949,3.4307,4.2555,0.0058,1.0002,7017
vswc,eff_size,0.1359,0.0538,95,0,0.0317,0.2425,0.995,0.005,0.0318,0.0993,0.1357,0.1719,0.2425,0.0004,1.0001,17929
vswc,x_pred,0.5773,7.478,95,0,-12.1559,13.3092,0.5501,0.4499,-12.1678,-2.532,0.5755,3.6666,13.2972,0.0432,1.0016,29999
ET,mu,0.258,0.1527,95,0,-0.0447,0.5534,0.9582,0.0418,-0.0341,0.1538,0.2549,0.3602,0.5646,0.0014,1.0003,11274
ET,sigma,2.633,0.1823,95,0,2.293,3.0041,1,0,2.2935,2.5064,2.6266,2.7526,3.0049,0.0026,1.0005,4924
ET,nu,2.8841,0.5176,95,0,1.9799,3.8979,1,0,2.0804,2.522,2.8082,3.1704,4.0792,0.0076,1.0005,4650
ET,eff_size,0.0971,0.0561,95,0,-0.0139,0.2055,0.9582,0.0418,-0.0136,0.0595,0.0974,0.1353,0.2059,0.0005,1.0002,13721
ET,x_pred,0.2427,4.9106,95,0,-8.5009,8.9804,0.5322,0.4678,-8.3433,-1.7731,0.2258,2.275,9.1529,0.0287,1.0015,29280
PET,mu,3314.1169,90.2116,95,0,3136.7154,3488.5216,1,0,3133.6653,3254.7709,3314.7192,3376.1889,3486.0631,0.7851,1.0004,13216
PET,sigma,1578.872,108.9701,95,0,1367.8951,1793.7446,1,0,1374.1275,1504.2933,1575.6589,1649.5203,1802.0455,1.3956,1.0005,6111
PET,nu,2.3354,0.3349,95,0,1.7345,3.0194,1,0,1.7745,2.1017,2.3016,2.5356,3.085,0.0044,1.0007,5834
PET,eff_size,2.1101,0.1706,95,0,1.7818,2.4451,1,0,1.7966,1.9922,2.1034,2.2206,2.4648,0.0022,1.0004,6066
PET,x_pred,3376.4596,6271.4259,95,0,-2677.3739,9477.8156,0.9237,0.0763,-2773.9921,2057.6141,3323.6567,4603.0104,9408.6527,36.0605,1.179,30734
